Amazon CEO Says Co. Has Been Investing In Large Language Models For Years
Amazon CFO Says Company Is Encouraged By Strength Of Cloud Customer Pipeline; Still Cost Optimization In Cloud Going On; Cloud Growth Rate Stabilized And Continuing Into Q3
Amazon CFO Says Third Party Sellers Accounted For 60% Of Units Sold In Second Quarter; Says Shipping Costs Growing At Slower Pace Than Unit Growth
Amazon Delivers Q2 Earnings Gains To Investors: Revenue Climbs 11%, AI In The Spotlight and More
Amazon.com Q2 Adj. EPS $0.63 Beats $0.34 Estimate
Amazon Q2 Adj. EPS $0.63
CORRECTION: Amazon.com Sees Q3 Revenue $138B-$143B
Amazon CEO Says Co. Has Been Investing In Large Language Models For Years
Amazon CFO Says Seeing Customers Optimize Their Cloud Spending In Response To Tough Economic Conditions; Sees Optimizations Continue Into Q2 With Apr. Rev Growth Rates ~5% Lower Than Q1
Amazon CEO Says Businesses' Spending On Generative AI Will Boost Cloud Sales
Amazon CFO Says Moving Some Capital Spend To Generative AI From Fulfillment And Transportation Costs
Amazon CFO Says Operating Income Negatively Impacted By Employee Severance Charge Of $470M In Q1
Amazon CFO Sees No Shift In The Competitive Balance Among Cloud Providers
Amazon CFO Says Advertising Is Still Seeing Strong Growth; North America Customers Looking For Value And Putting Off Some Discretionary Purchases; We've Seen Consumer Shifts To Lower Priced Items
Amazon CFO Says Fuel Impacts In Europe Starting To Ease
Amazon Q1 Earnings Highlights: Revenue And EPS Beat, AWS Up 16% YoY, Q2 Guidance And More
Amazon CEO Says 'We like the fundamentals we're seeing in AWS, and believe there's much growth ahead.'
Amazon CEO Says Working To Grow Business-To-Business Commerce To $100B In Yearly Gross Sales From $35B Today
Amazon CEO Said Amazon Working To Grow Business-to-business Commerce To $100B In Yearly Gross Sales From $35B Today -Conf Call
Amazon CFO Said Looking Ahead To FY 2023, Expect Capital Investments To Be Slightly More Than $50B Vs $59B In 2022 -Conf Call
Amazon CFO Says Cloud Growth Rate Stabilized And Continuing Into Q3; Consumer Behavior Similar To Earlier This Year; Consumer Behavior Similar To Q1 With Shoppers Trading Down To Generic Brands
Amazon CFO Says Company Is Encouraged By Strength Of Cloud Customer Pipeline; Still Cost Optimization In Cloud Going On; Cloud Growth Rate Stabilized And Continuing Into Q3
Amazon CFO Says Third Party Sellers Accounted For 60% Of Units Sold In Second Quarter; Says Shipping Costs Growing At Slower Pace Than Unit Growth
Amazon Delivers Q2 Earnings Gains To Investors: Revenue Climbs 11%, AI In The Spotlight and More
Amazon.com Q2 Adj. EPS $0.63 Beats $0.34 Estimate
Amazon Q2 Adj. EPS $0.63
CORRECTION: Amazon.com Sees Q3 Revenue $138B-$143B
https://www.benzinga.com/news/earnings/23/04/32065069/amazon-ceo-says-co-has-been-investing-in-large-language-models-for-years
https://www.benzinga.com/news/earnings/23/04/32064955/amazon-cfo-says-seeing-customers-optimize-their-cloud-spending-in-response-to-tough-economic-condit
https://www.benzinga.com/news/earnings/23/04/32064864/amazon-ceo-says-businesses-spending-on-generative-ai-will-boost-cloud-sales
https://www.benzinga.com/news/earnings/23/04/32064815/amazon-cfo-says-moving-some-capital-spend-to-generative-ai-from-fulfillment-and-transportation-cost
https://www.benzinga.com/news/earnings/23/04/32064635/amazon-cfo-says-operating-income-negatively-impacted-by-employee-severance-charge-of-470m-in-q1
https://www.benzinga.com/news/23/04/32062351/amazon-cfo-sees-no-shift-in-the-competitive-balance-among-cloud-providers
https://www.benzinga.com/news/23/04/32062326/amazon-cfo-says-advertising-is-still-seeing-strong-growth-north-america-customers-looking-for-value
https://www.benzinga.com/news/earnings/23/04/32062157/amazon-cfo-says-fuel-impacts-in-europe-starting-to-ease
https://www.benzinga.com/news/earnings/23/04/32060101/amazon-q1-earnings-highlights-revenue-and-eps-beat-aws-up-16-yoy-q2-guidance-and-more
https://www.benzinga.com/news/earnings/23/04/32059191/amazon-ceo-says-we-like-the-fundamentals-were-seeing-in-aws-and-believe-theres-much-growth-ahead
https://www.benzinga.com/news/23/08/33563200/amazon-ceo-says-working-to-grow-business-to-business-commerce-to-100b-in-yearly-gross-sales-from-35b
https://www.benzinga.com/news/23/08/33563127/amazon-ceo-said-amazon-working-to-grow-business-to-business-commerce-to-100b-in-yearly-gross-sales-f
https://www.benzinga.com/news/23/08/33563099/amazon-cfo-said-looking-ahead-to-fy-2023-expect-capital-investments-to-be-slightly-more-than-50b-vs
https://www.benzinga.com/news/23/08/33560938/amazon-cfo-says-cloud-growth-rate-stabilized-and-continuing-into-q3-consumer-behavior-similar-to-ear
https://www.benzinga.com/news/23/08/33560786/amazon-cfo-says-company-is-encouraged-by-strength-of-cloud-customer-pipeline-still-cost-optimization
https://www.benzinga.com/news/earnings/23/08/33560599/amazon-cfo-says-third-party-sellers-accounted-for-60-of-units-sold-in-second-quarter-says-shipping-
https://www.benzinga.com/news/earnings/23/08/33559326/amazon-delivers-q2-earnings-gains-to-investors-revenue-climbs-11-ai-in-the-spotlight-and-more
https://www.benzinga.com/news/earnings/23/08/33558579/amazon-com-q2-eps-0-65-beats-0-34-estimate
https://www.benzinga.com/news/earnings/23/08/33559149/amazon-q2-adj-eps-0-63
https://www.benzinga.com/news/23/08/33559059/correction-amazon-com-sees-q3-revenue-138b-143b
https://www.benzinga.com/news/earnings/23/04/32065069/amazon-ceo-says-co-has-been-investing-in-large-language-models-for-years
https://www.benzinga.com/news/earnings/23/04/32064955/amazon-cfo-says-seeing-customers-optimize-their-cloud-spending-in-response-to-tough-economic-condit
https://www.benzinga.com/news/earnings/23/04/32064864/amazon-ceo-says-businesses-spending-on-generative-ai-will-boost-cloud-sales
https://www.benzinga.com/news/earnings/23/04/32064815/amazon-cfo-says-moving-some-capital-spend-to-generative-ai-from-fulfillment-and-transportation-cost
https://www.benzinga.com/news/earnings/23/04/32064635/amazon-cfo-says-operating-income-negatively-impacted-by-employee-severance-charge-of-470m-in-q1
https://www.benzinga.com/news/23/04/32062351/amazon-cfo-sees-no-shift-in-the-competitive-balance-among-cloud-providers
https://www.benzinga.com/news/23/04/32062326/amazon-cfo-says-advertising-is-still-seeing-strong-growth-north-america-customers-looking-for-value
https://www.benzinga.com/news/earnings/23/04/32062157/amazon-cfo-says-fuel-impacts-in-europe-starting-to-ease
https://www.benzinga.com/news/earnings/23/04/32060101/amazon-q1-earnings-highlights-revenue-and-eps-beat-aws-up-16-yoy-q2-guidance-and-more
https://www.benzinga.com/news/earnings/23/04/32059191/amazon-ceo-says-we-like-the-fundamentals-were-seeing-in-aws-and-believe-theres-much-growth-ahead
https://www.benzinga.com/news/23/08/33563200/amazon-ceo-says-working-to-grow-business-to-business-commerce-to-100b-in-yearly-gross-sales-from-35b
https://www.benzinga.com/news/23/08/33563127/amazon-ceo-said-amazon-working-to-grow-business-to-business-commerce-to-100b-in-yearly-gross-sales-f
https://www.benzinga.com/news/23/08/33563099/amazon-cfo-said-looking-ahead-to-fy-2023-expect-capital-investments-to-be-slightly-more-than-50b-vs
https://www.benzinga.com/news/23/08/33560938/amazon-cfo-says-cloud-growth-rate-stabilized-and-continuing-into-q3-consumer-behavior-similar-to-ear
https://www.benzinga.com/news/23/08/33560786/amazon-cfo-says-company-is-encouraged-by-strength-of-cloud-customer-pipeline-still-cost-optimization
https://www.benzinga.com/news/earnings/23/08/33560599/amazon-cfo-says-third-party-sellers-accounted-for-60-of-units-sold-in-second-quarter-says-shipping-
https://www.benzinga.com/news/earnings/23/08/33559326/amazon-delivers-q2-earnings-gains-to-investors-revenue-climbs-11-ai-in-the-spotlight-and-more
https://www.benzinga.com/news/earnings/23/08/33558579/amazon-com-q2-eps-0-65-beats-0-34-estimate
https://www.benzinga.com/news/earnings/23/08/33559149/amazon-q2-adj-eps-0-63
https://www.benzinga.com/news/23/08/33559059/correction-amazon-com-sees-q3-revenue-138b-143b
Amazon CEO Says Co. Has Been Investing In Large Language Models For Years,https://www.benzinga.com/news/earnings/23/04/32065069/amazon-ceo-says-co-has-been-investing-in-large-language-models-for-years
Amazon CFO Says Seeing Customers Optimize Their Cloud Spending In Response To Tough Economic Conditions; Sees Optimizations Continue Into Q2 With Apr. Rev Growth Rates ~5% Lower Than Q1,https://www.benzinga.com/news/earnings/23/04/32064955/amazon-cfo-says-seeing-customers-optimize-their-cloud-spending-in-response-to-tough-economic-condit
Amazon CEO Says Businesses' Spending On Generative AI Will Boost Cloud Sales,https://www.benzinga.com/news/earnings/23/04/32064864/amazon-ceo-says-businesses-spending-on-generative-ai-will-boost-cloud-sales
Amazon CFO Says Moving Some Capital Spend To Generative AI From Fulfillment And Transportation Costs,https://www.benzinga.com/news/earnings/23/04/32064815/amazon-cfo-says-moving-some-capital-spend-to-generative-ai-from-fulfillment-and-transportation-cost
Amazon CFO Says Operating Income Negatively Impacted By Employee Severance Charge Of $470M In Q1,https://www.benzinga.com/news/earnings/23/04/32064635/amazon-cfo-says-operating-income-negatively-impacted-by-employee-severance-charge-of-470m-in-q1
Amazon CFO Sees No Shift In The Competitive Balance Among Cloud Providers,https://www.benzinga.com/news/23/04/32062351/amazon-cfo-sees-no-shift-in-the-competitive-balance-among-cloud-providers
Amazon CFO Says Advertising Is Still Seeing Strong Growth; North America Customers Looking For Value And Putting Off Some Discretionary Purchases; We've Seen Consumer Shifts To Lower Priced Items,https://www.benzinga.com/news/23/04/32062326/amazon-cfo-says-advertising-is-still-seeing-strong-growth-north-america-customers-looking-for-value
Amazon CFO Says Fuel Impacts In Europe Starting To Ease,https://www.benzinga.com/news/earnings/23/04/32062157/amazon-cfo-says-fuel-impacts-in-europe-starting-to-ease
Amazon Q1 Earnings Highlights: Revenue And EPS Beat, AWS Up 16% YoY, Q2 Guidance And More,https://www.benzinga.com/news/earnings/23/04/32060101/amazon-q1-earnings-highlights-revenue-and-eps-beat-aws-up-16-yoy-q2-guidance-and-more
Amazon CEO Says 'We like the fundamentals we're seeing in AWS, and believe there's much growth ahead.',https://www.benzinga.com/news/earnings/23/04/32059191/amazon-ceo-says-we-like-the-fundamentals-were-seeing-in-aws-and-believe-theres-much-growth-ahead
Amazon CEO Says Working To Grow Business-To-Business Commerce To $100B In Yearly Gross Sales From $35B Today,https://www.benzinga.com/news/23/08/33563200/amazon-ceo-says-working-to-grow-business-to-business-commerce-to-100b-in-yearly-gross-sales-from-35b
Amazon CEO Said Amazon Working To Grow Business-to-business Commerce To $100B In Yearly Gross Sales From $35B Today -Conf Call,https://www.benzinga.com/news/23/08/33563127/amazon-ceo-said-amazon-working-to-grow-business-to-business-commerce-to-100b-in-yearly-gross-sales-f
Amazon CFO Said Looking Ahead To FY 2023, Expect Capital Investments To Be Slightly More Than $50B Vs $59B In 2022 -Conf Call,https://www.benzinga.com/news/23/08/33563099/amazon-cfo-said-looking-ahead-to-fy-2023-expect-capital-investments-to-be-slightly-more-than-50b-vs
Amazon CFO Says Cloud Growth Rate Stabilized And Continuing Into Q3; Consumer Behavior Similar To Earlier This Year; Consumer Behavior Similar To Q1 With Shoppers Trading Down To Generic Brands,https://www.benzinga.com/news/23/08/33560938/amazon-cfo-says-cloud-growth-rate-stabilized-and-continuing-into-q3-consumer-behavior-similar-to-ear
Amazon CFO Says Company Is Encouraged By Strength Of Cloud Customer Pipeline; Still Cost Optimization In Cloud Going On; Cloud Growth Rate Stabilized And Continuing Into Q3,https://www.benzinga.com/news/23/08/33560786/amazon-cfo-says-company-is-encouraged-by-strength-of-cloud-customer-pipeline-still-cost-optimization
Amazon CFO Says Third Party Sellers Accounted For 60% Of Units Sold In Second Quarter; Says Shipping Costs Growing At Slower Pace Than Unit Growth,https://www.benzinga.com/news/earnings/23/08/33560599/amazon-cfo-says-third-party-sellers-accounted-for-60-of-units-sold-in-second-quarter-says-shipping-
Amazon Delivers Q2 Earnings Gains To Investors: Revenue Climbs 11%, AI In The Spotlight and More,https://www.benzinga.com/news/earnings/23/08/33559326/amazon-delivers-q2-earnings-gains-to-investors-revenue-climbs-11-ai-in-the-spotlight-and-more
Amazon.com Q2 Adj. EPS $0.63 Beats $0.34 Estimate,https://www.benzinga.com/news/earnings/23/08/33558579/amazon-com-q2-eps-0-65-beats-0-34-estimate
Amazon Q2 Adj. EPS $0.63,https://www.benzinga.com/news/earnings/23/08/33559149/amazon-q2-adj-eps-0-63
CORRECTION: Amazon.com Sees Q3 Revenue $138B-$143B,https://www.benzinga.com/news/23/08/33559059/correction-amazon-com-sees-q3-revenue-138b-143b
Amazon CEO Says Co. Has Been Investing In Large Language Models For Years,https://www.benzinga.com/news/earnings/23/04/32065069/amazon-ceo-says-co-has-been-investing-in-large-language-models-for-years
Amazon CFO Says Seeing Customers Optimize Their Cloud Spending In Response To Tough Economic Conditions; Sees Optimizations Continue Into Q2 With Apr. Rev Growth Rates ~5% Lower Than Q1,https://www.benzinga.com/news/earnings/23/04/32064955/amazon-cfo-says-seeing-customers-optimize-their-cloud-spending-in-response-to-tough-economic-condit
Amazon CEO Says Businesses' Spending On Generative AI Will Boost Cloud Sales,https://www.benzinga.com/news/earnings/23/04/32064864/amazon-ceo-says-businesses-spending-on-generative-ai-will-boost-cloud-sales
Amazon CFO Says Moving Some Capital Spend To Generative AI From Fulfillment And Transportation Costs,https://www.benzinga.com/news/earnings/23/04/32064815/amazon-cfo-says-moving-some-capital-spend-to-generative-ai-from-fulfillment-and-transportation-cost
Amazon CFO Says Operating Income Negatively Impacted By Employee Severance Charge Of $470M In Q1,https://www.benzinga.com/news/earnings/23/04/32064635/amazon-cfo-says-operating-income-negatively-impacted-by-employee-severance-charge-of-470m-in-q1
Amazon CFO Sees No Shift In The Competitive Balance Among Cloud Providers,https://www.benzinga.com/news/23/04/32062351/amazon-cfo-sees-no-shift-in-the-competitive-balance-among-cloud-providers
Amazon CFO Says Advertising Is Still Seeing Strong Growth; North America Customers Looking For Value And Putting Off Some Discretionary Purchases; We've Seen Consumer Shifts To Lower Priced Items,https://www.benzinga.com/news/23/04/32062326/amazon-cfo-says-advertising-is-still-seeing-strong-growth-north-america-customers-looking-for-value
Amazon CFO Says Fuel Impacts In Europe Starting To Ease,https://www.benzinga.com/news/earnings/23/04/32062157/amazon-cfo-says-fuel-impacts-in-europe-starting-to-ease
Amazon Q1 Earnings Highlights: Revenue And EPS Beat, AWS Up 16% YoY, Q2 Guidance And More,https://www.benzinga.com/news/earnings/23/04/32060101/amazon-q1-earnings-highlights-revenue-and-eps-beat-aws-up-16-yoy-q2-guidance-and-more
Amazon CEO Says 'We like the fundamentals we're seeing in AWS, and believe there's much growth ahead.',https://www.benzinga.com/news/earnings/23/04/32059191/amazon-ceo-says-we-like-the-fundamentals-were-seeing-in-aws-and-believe-theres-much-growth-ahead
Amazon CEO Says Working To Grow Business-To-Business Commerce To $100B In Yearly Gross Sales From $35B Today,https://www.benzinga.com/news/23/08/33563200/amazon-ceo-says-working-to-grow-business-to-business-commerce-to-100b-in-yearly-gross-sales-from-35b
Amazon CEO Said Amazon Working To Grow Business-to-business Commerce To $100B In Yearly Gross Sales From $35B Today -Conf Call,https://www.benzinga.com/news/23/08/33563127/amazon-ceo-said-amazon-working-to-grow-business-to-business-commerce-to-100b-in-yearly-gross-sales-f
Amazon CFO Said Looking Ahead To FY 2023, Expect Capital Investments To Be Slightly More Than $50B Vs $59B In 2022 -Conf Call,https://www.benzinga.com/news/23/08/33563099/amazon-cfo-said-looking-ahead-to-fy-2023-expect-capital-investments-to-be-slightly-more-than-50b-vs
Amazon CFO Says Cloud Growth Rate Stabilized And Continuing Into Q3; Consumer Behavior Similar To Earlier This Year; Consumer Behavior Similar To Q1 With Shoppers Trading Down To Generic Brands,https://www.benzinga.com/news/23/08/33560938/amazon-cfo-says-cloud-growth-rate-stabilized-and-continuing-into-q3-consumer-behavior-similar-to-ear
Amazon CFO Says Company Is Encouraged By Strength Of Cloud Customer Pipeline; Still Cost Optimization In Cloud Going On; Cloud Growth Rate Stabilized And Continuing Into Q3,https://www.benzinga.com/news/23/08/33560786/amazon-cfo-says-company-is-encouraged-by-strength-of-cloud-customer-pipeline-still-cost-optimization
Amazon CFO Says Third Party Sellers Accounted For 60% Of Units Sold In Second Quarter; Says Shipping Costs Growing At Slower Pace Than Unit Growth,https://www.benzinga.com/news/earnings/23/08/33560599/amazon-cfo-says-third-party-sellers-accounted-for-60-of-units-sold-in-second-quarter-says-shipping-
Amazon Delivers Q2 Earnings Gains To Investors: Revenue Climbs 11%, AI In The Spotlight and More,https://www.benzinga.com/news/earnings/23/08/33559326/amazon-delivers-q2-earnings-gains-to-investors-revenue-climbs-11-ai-in-the-spotlight-and-more
Amazon.com Q2 Adj. EPS $0.63 Beats $0.34 Estimate,https://www.benzinga.com/news/earnings/23/08/33558579/amazon-com-q2-eps-0-65-beats-0-34-estimate
Amazon Q2 Adj. EPS $0.63,https://www.benzinga.com/news/earnings/23/08/33559149/amazon-q2-adj-eps-0-63
CORRECTION: Amazon.com Sees Q3 Revenue $138B-$143B,https://www.benzinga.com/news/23/08/33559059/correction-amazon-com-sees-q3-revenue-138b-143b
Amazon CEO Says Co. Has Been Investing In Large Language Models For Years,https://www.benzinga.com/news/earnings/23/04/32065069/amazon-ceo-says-co-has-been-investing-in-large-language-models-for-years
Amazon CFO Says Seeing Customers Optimize Their Cloud Spending In Response To Tough Economic Conditions; Sees Optimizations Continue Into Q2 With Apr. Rev Growth Rates ~5% Lower Than Q1,https://www.benzinga.com/news/earnings/23/04/32064955/amazon-cfo-says-seeing-customers-optimize-their-cloud-spending-in-response-to-tough-economic-condit
Amazon CEO Says Businesses' Spending On Generative AI Will Boost Cloud Sales,https://www.benzinga.com/news/earnings/23/04/32064864/amazon-ceo-says-businesses-spending-on-generative-ai-will-boost-cloud-sales
Amazon CFO Says Moving Some Capital Spend To Generative AI From Fulfillment And Transportation Costs,https://www.benzinga.com/news/earnings/23/04/32064815/amazon-cfo-says-moving-some-capital-spend-to-generative-ai-from-fulfillment-and-transportation-cost
Amazon CFO Says Operating Income Negatively Impacted By Employee Severance Charge Of $470M In Q1,https://www.benzinga.com/news/earnings/23/04/32064635/amazon-cfo-says-operating-income-negatively-impacted-by-employee-severance-charge-of-470m-in-q1
Amazon CFO Sees No Shift In The Competitive Balance Among Cloud Providers,https://www.benzinga.com/news/23/04/32062351/amazon-cfo-sees-no-shift-in-the-competitive-balance-among-cloud-providers
Amazon CFO Says Advertising Is Still Seeing Strong Growth; North America Customers Looking For Value And Putting Off Some Discretionary Purchases; We've Seen Consumer Shifts To Lower Priced Items,https://www.benzinga.com/news/23/04/32062326/amazon-cfo-says-advertising-is-still-seeing-strong-growth-north-america-customers-looking-for-value
Amazon CFO Says Fuel Impacts In Europe Starting To Ease,https://www.benzinga.com/news/earnings/23/04/32062157/amazon-cfo-says-fuel-impacts-in-europe-starting-to-ease
Amazon Q1 Earnings Highlights: Revenue And EPS Beat, AWS Up 16% YoY, Q2 Guidance And More,https://www.benzinga.com/news/earnings/23/04/32060101/amazon-q1-earnings-highlights-revenue-and-eps-beat-aws-up-16-yoy-q2-guidance-and-more
Amazon CEO Says 'We like the fundamentals we're seeing in AWS, and believe there's much growth ahead.',https://www.benzinga.com/news/earnings/23/04/32059191/amazon-ceo-says-we-like-the-fundamentals-were-seeing-in-aws-and-believe-theres-much-growth-ahead
Amazon CEO Says Working To Grow Business-To-Business Commerce To $100B In Yearly Gross Sales From $35B Today,https://www.benzinga.com/news/23/08/33563200/amazon-ceo-says-working-to-grow-business-to-business-commerce-to-100b-in-yearly-gross-sales-from-35b
Amazon CEO Said Amazon Working To Grow Business-to-business Commerce To $100B In Yearly Gross Sales From $35B Today -Conf Call,https://www.benzinga.com/news/23/08/33563127/amazon-ceo-said-amazon-working-to-grow-business-to-business-commerce-to-100b-in-yearly-gross-sales-f
Amazon CFO Said Looking Ahead To FY 2023, Expect Capital Investments To Be Slightly More Than $50B Vs $59B In 2022 -Conf Call,https://www.benzinga.com/news/23/08/33563099/amazon-cfo-said-looking-ahead-to-fy-2023-expect-capital-investments-to-be-slightly-more-than-50b-vs
Amazon CFO Says Cloud Growth Rate Stabilized And Continuing Into Q3; Consumer Behavior Similar To Earlier This Year; Consumer Behavior Similar To Q1 With Shoppers Trading Down To Generic Brands,https://www.benzinga.com/news/23/08/33560938/amazon-cfo-says-cloud-growth-rate-stabilized-and-continuing-into-q3-consumer-behavior-similar-to-ear
Amazon CFO Says Company Is Encouraged By Strength Of Cloud Customer Pipeline; Still Cost Optimization In Cloud Going On; Cloud Growth Rate Stabilized And Continuing Into Q3,https://www.benzinga.com/news/23/08/33560786/amazon-cfo-says-company-is-encouraged-by-strength-of-cloud-customer-pipeline-still-cost-optimization
Amazon CFO Says Third Party Sellers Accounted For 60% Of Units Sold In Second Quarter; Says Shipping Costs Growing At Slower Pace Than Unit Growth,https://www.benzinga.com/news/earnings/23/08/33560599/amazon-cfo-says-third-party-sellers-accounted-for-60-of-units-sold-in-second-quarter-says-shipping-
Amazon Delivers Q2 Earnings Gains To Investors: Revenue Climbs 11%, AI In The Spotlight and More,https://www.benzinga.com/news/earnings/23/08/33559326/amazon-delivers-q2-earnings-gains-to-investors-revenue-climbs-11-ai-in-the-spotlight-and-more
Amazon.com Q2 Adj. EPS $0.63 Beats $0.34 Estimate,https://www.benzinga.com/news/earnings/23/08/33558579/amazon-com-q2-eps-0-65-beats-0-34-estimate
Amazon Q2 Adj. EPS $0.63,https://www.benzinga.com/news/earnings/23/08/33559149/amazon-q2-adj-eps-0-63
CORRECTION: Amazon.com Sees Q3 Revenue $138B-$143B,https://www.benzinga.com/news/23/08/33559059/correction-amazon-com-sees-q3-revenue-138b-143b
Cook Says Does Not Expect Apple To Participate Directly In Us Chip Subsidy Program, May See Indirect Benefits Through Suppliers - Conf Call,https://www.benzinga.com/news/earnings/23/05/32228976/cook-says-does-not-expect-apple-to-participate-directly-in-us-chip-subsidy-program-may-see-indirect
Cook Says Apple Pleased With Reacceleration In China With The Reopening,https://www.benzinga.com/news/earnings/23/05/32228971/cook-says-apple-pleased-with-reacceleration-in-china-with-the-reopening
Apple's Cook On India Said Lot Of People Entering Middle Class, Hopeful To Convince Some To Buy iPhone; Right Now, Working Out Well -Conf Call,https://www.benzinga.com/news/earnings/23/05/32228963/apples-cook-on-india-said-lot-of-people-entering-middle-class-hopeful-to-convince-some-to-buy-iphon
Apple CFO Says Seeing Impact Of Macroeconomic Environment Particularly In Advertising And Mobile Gaming,https://www.benzinga.com/news/earnings/23/05/32228769/apple-cfo-says-seeing-impact-of-macroeconomic-environment-particularly-in-advertising-and-mobile-ga
Apple's CEO Tim Cook On iPhone Pro Models Says We Recaptured Some Amount Of Sales In March Quarter,https://www.benzinga.com/news/earnings/23/05/32228519/apples-ceo-tim-cook-on-iphone-pro-models-says-we-recaptured-some-amount-of-sales-in-march-quarter
Apple's CEO Tim Cook Says 'We View AI As Huge And We'll Continue Weaving It In Our Products On A Very Thoughtful Basis',https://www.benzinga.com/news/earnings/23/05/32228502/apples-ceo-tim-cook-says-we-view-ai-as-huge-and-well-continue-weaving-it-in-our-products-on-a-very-
Apple Says iPhone Base Well Over 1B Active Devices,https://www.benzinga.com/news/earnings/23/05/32228365/apple-says-iphone-base-well-over-1b-active-devices
Apple CFO Says Expects Q3 YoY Revenue Growth To Be Similar To Q2,https://www.benzinga.com/news/23/05/32228150/apple-cfo-says-expects-q3-yoy-revenue-growth-to-be-similar-to-q2
Apple Expects June Quarter To Be Same As March Quarter,https://www.benzinga.com/news/23/05/32228122/apple-expects-june-quarter-to-be-same-as-march-quarter
Apple Q2 Earnings Thump Estimates, Buoyed By Robust iPhone Sales, Record Services Revenue,https://www.benzinga.com/analyst-ratings/analyst-color/23/05/32227215/apple-q2-earnings-thump-estimates-buoyed-by-robust-iphone-sales-record-services-rev
Apple CEO Cook Said India Retail Stores Are Doing Better Than Anticipated - Conf Call,https://www.benzinga.com/news/23/11/35580635/apple-ceo-cool-said-india-retail-stores-are-doing-better-than-anticipated-conf-call
Apple CEO Cook Said China Q4 Performance Pulled Down By Weak Mac And iPad Sales - Conf Call,https://www.benzinga.com/news/23/11/35580376/apple-ceo-cook-said-china-q4-performance-pulled-down-by-weak-mac-and-ipad-sales-conf-call
